TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
1827,2000-01,2000050700,13.200000000000001,131.6,12.761709955370147,130.26761861232845
1827,2000-01,2000050706,13.4,131.3,14.246102782996434,129.39755814463493
1827,2000-01,2000050712,13.700000000000001,131.20000000000002,15.438672802477928,131.1469063062405
1827,2000-01,2000050718,13.8,131.3,15.276950177545789,130.851743129538
1827,2000-01,2000050800,14.0,131.5,14.539988362096683,130.6511364358986
1827,2000-01,2000050806,14.3,132.0,14.4775903502448,129.42665436527068
1827,2000-01,2000050812,14.600000000000001,132.4,15.143103770695166,129.7085215567035
1827,2000-01,2000050818,15.100000000000001,133.0,15.20995031666428,131.0950760597586
1827,2000-01,2000050900,15.600000000000001,133.5,15.54508528987731,131.68142572856885
1827,2000-01,2000050906,16.400000000000002,134.4,16.19647538488621,133.5128726013326
1827,2000-01,2000050912,17.3,135.3,16.336203302993813,133.6362790536594
1827,2000-01,2000050918,18.7,136.0,17.617198386555,134.95079239358938
1827,2000-01,2000051000,19.5,136.8,18.224417371936145,135.245092241583
1827,2000-01,2000051006,20.8,137.8,20.24963180940632,137.83660621588453
1827,2000-01,2000051012,22.200000000000003,138.8,21.49667451155361,139.21182132982483
1827,2000-01,2000051018,23.0,139.5,24.10658844864334,139.4884280622681
1827,2000-01,2000051100,23.700000000000003,139.9,23.64120998755192,140.87685752774547
1827,2000-01,2000051106,25.1,141.1,26.091415084746405,142.87991929617996
1827,2000-01,2000051112,26.0,142.0,27.61142200443211,144.39815198091785
1827,2000-01,2000051118,26.900000000000002,143.5,26.878485722677244,143.8810347543916
1827,2000-01,2000051200,27.700000000000003,145.9,26.771878588156557,142.84018556974854
1827,2000-01,2000051206,28.3,147.9,30.47637642489229,146.78814202857882
1827,2000-01,2000051212,28.400000000000002,149.5,30.1995328504085,147.31630757724417
1828,2000-02,2000051912,23.200000000000003,128.6,23.36977688033784,126.85926708866103
1828,2000-02,2000051918,24.700000000000003,130.8,25.6754526308917,129.9757479312574
1828,2000-02,2000052000,26.400000000000002,135.0,24.842548228966212,130.47542990769233
1828,2000-02,2000052006,28.200000000000003,139.0,26.485060216849003,133.43891270275918
1828,2000-02,2000052012,30.200000000000003,142.0,27.149289183866376,136.18486512140583
1828,2000-02,2000052018,31.3,144.8,30.346019734167736,140.19604782359013
1828,2000-02,2000052100,33.5,146.8,33.09402081156992,151.89471054846237
1832,2000-06,2000070412,19.1,131.6,19.195361094419052,131.11798798406912
1832,2000-06,2000070418,20.0,131.4,19.20030765791613,131.2076375620309
1832,2000-06,2000070500,20.6,132.0,19.32143719180291,132.3863699121518
1832,2000-06,2000070506,21.700000000000003,132.5,21.926213175199837,131.53869574765352
1832,2000-06,2000070512,22.400000000000002,133.0,22.463909935211287,131.34865354410934
1832,2000-06,2000070518,23.3,133.6,23.669963346961264,130.87832125237313
1832,2000-06,2000070600,24.200000000000003,134.20000000000002,24.393704294025316,135.26791607603764
1832,2000-06,2000070606,24.8,134.70000000000002,26.57378912251637,135.9467429466259
1832,2000-06,2000070612,25.6,135.5,26.165595931191124,136.48582171791142
1832,2000-06,2000070618,26.8,136.0,27.39334290600487,137.0221598028888
1832,2000-06,2000070700,28.1,136.70000000000002,28.199375125576093,137.91897543810413
1832,2000-06,2000070706,29.900000000000002,137.70000000000002,28.008688447359507,138.00627747950472
1832,2000-06,2000070712,31.900000000000002,138.8,29.40117734977156,139.7657264938365
1832,2000-06,2000070718,34.1,139.9,31.473904490737734,139.30188965438057
1832,2000-06,2000070800,36.5,141.4,33.46182778325341,141.11556714940843
1832,2000-06,2000070806,39.2,142.9,36.65436334041736,143.46784724955862
1832,2000-06,2000070812,41.2,144.0,39.01263507659765,145.78430736113677
1832,2000-06,2000070818,42.0,144.6,41.48527724087269,147.06934539100754
1832,2000-06,2000070900,42.1,146.5,44.13127324119833,150.01637595471715
1833,2000-07,2000070412,18.400000000000002,120.60000000000001,16.763617848975574,120.46714273219467
1833,2000-07,2000070418,18.8,120.7,16.669320177065988,119.75744969467418
1833,2000-07,2000070500,18.8,120.7,17.70568063583664,120.390648989524
1833,2000-07,2000070506,18.8,120.7,20.27216749503042,122.19724481388026
1833,2000-07,2000070512,19.1,120.30000000000001,22.43250993833492,123.09869987326336
1833,2000-07,2000070518,19.5,120.10000000000001,20.931841355550315,121.99373712651109
1833,2000-07,2000070600,19.6,119.9,19.273678107205985,120.94268714579145
1833,2000-07,2000070606,19.700000000000003,119.60000000000001,18.97098170533707,120.52659812661477
1833,2000-07,2000070612,20.0,119.10000000000001,20.024047139078586,118.53586898919959
1833,2000-07,2000070618,20.1,118.7,21.11474969073198,118.37090665082823
1833,2000-07,2000070700,19.5,118.30000000000001,20.62014783819048,118.45454704913436
1833,2000-07,2000070706,19.700000000000003,118.7,20.32302118717742,117.79470013548395
1833,2000-07,2000070712,19.700000000000003,118.9,20.928280314406887,116.39827673985037
1833,2000-07,2000070718,19.8,119.0,20.756238596891425,116.39587779787357
1833,2000-07,2000070800,20.0,119.4,18.42371920149721,116.66651422579807
1833,2000-07,2000070806,20.200000000000003,119.60000000000001,21.019910569457107,119.07122651595589
1833,2000-07,2000070812,20.5,120.2,20.37993477454182,119.0589448952362
1833,2000-07,2000070818,21.200000000000003,120.9,20.92452387245167,119.2091241306759
1833,2000-07,2000070900,22.700000000000003,121.4,21.263072835004177,120.5641936861981
1833,2000-07,2000070906,24.700000000000003,121.60000000000001,21.509020403663104,120.42026028860526
1833,2000-07,2000070912,26.3,121.4,22.172895856070998,122.55859053778023
