TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
1827,2000-01,2000050700,13.200000000000001,131.6,12.242514610290527,131.21533203125
1827,2000-01,2000050706,13.4,131.3,12.919116973876953,130.8512420654297
1827,2000-01,2000050712,13.700000000000001,131.20000000000002,14.089190483093262,131.83155822753906
1827,2000-01,2000050718,13.8,131.3,14.386689186096191,131.75042724609375
1827,2000-01,2000050800,14.0,131.5,14.532065391540527,131.78651428222656
1827,2000-01,2000050806,14.3,132.0,14.5829439163208,131.4603729248047
1827,2000-01,2000050812,14.600000000000001,132.4,14.885995864868164,131.5782012939453
1827,2000-01,2000050818,15.100000000000001,133.0,14.99172306060791,132.49911499023438
1827,2000-01,2000050900,15.600000000000001,133.5,16.101058959960938,132.9261932373047
1827,2000-01,2000050906,16.400000000000002,134.4,16.962984085083008,133.94493103027344
1827,2000-01,2000050912,17.3,135.3,17.309730529785156,134.83795166015625
1827,2000-01,2000050918,18.7,136.0,18.14148712158203,135.5211181640625
1827,2000-01,2000051000,19.5,136.8,18.8057804107666,135.0015411376953
1827,2000-01,2000051006,20.8,137.8,20.89548683166504,137.0192413330078
1827,2000-01,2000051012,22.200000000000003,138.8,21.791919708251953,137.91551208496094
1827,2000-01,2000051018,23.0,139.5,22.235055923461914,137.79501342773438
1827,2000-01,2000051100,23.700000000000003,139.9,22.16073989868164,138.49513244628906
1827,2000-01,2000051106,25.1,141.1,24.38392448425293,140.47076416015625
1827,2000-01,2000051112,26.0,142.0,26.884737014770508,142.9739227294922
1827,2000-01,2000051118,26.900000000000002,143.5,27.234207153320312,144.81149291992188
1827,2000-01,2000051200,27.700000000000003,145.9,28.33293914794922,146.04571533203125
1827,2000-01,2000051206,28.3,147.9,30.17942237854004,148.69467163085938
1827,2000-01,2000051212,28.400000000000002,149.5,30.561994552612305,149.87782287597656
1828,2000-02,2000051912,23.200000000000003,128.6,22.595733642578125,127.6963882446289
1828,2000-02,2000051918,24.700000000000003,130.8,24.45136070251465,130.0186309814453
1828,2000-02,2000052000,26.400000000000002,135.0,25.78912353515625,132.56993103027344
1828,2000-02,2000052006,28.200000000000003,139.0,27.877592086791992,136.425537109375
1828,2000-02,2000052012,30.200000000000003,142.0,29.433576583862305,139.72979736328125
1828,2000-02,2000052018,31.3,144.8,33.35879898071289,145.94789123535156
1828,2000-02,2000052100,33.5,146.8,34.23643493652344,150.65480041503906
1832,2000-06,2000070412,19.1,131.6,18.96886444091797,129.78126525878906
1832,2000-06,2000070418,20.0,131.4,19.502695083618164,130.1290740966797
1832,2000-06,2000070500,20.6,132.0,20.694185256958008,131.89962768554688
1832,2000-06,2000070506,21.700000000000003,132.5,21.563961029052734,131.60267639160156
1832,2000-06,2000070512,22.400000000000002,133.0,22.320859909057617,131.31661987304688
1832,2000-06,2000070518,23.3,133.6,23.309288024902344,131.75323486328125
1832,2000-06,2000070600,24.200000000000003,134.20000000000002,23.819717407226562,134.3247528076172
1832,2000-06,2000070606,24.8,134.70000000000002,24.74284553527832,134.78782653808594
1832,2000-06,2000070612,25.6,135.5,25.495542526245117,136.15682983398438
1832,2000-06,2000070618,26.8,136.0,27.18954086303711,137.63241577148438
1832,2000-06,2000070700,28.1,136.70000000000002,28.444726943969727,137.68833923339844
1832,2000-06,2000070706,29.900000000000002,137.70000000000002,28.970355987548828,137.63487243652344
1832,2000-06,2000070712,31.900000000000002,138.8,30.669940948486328,138.5390167236328
1832,2000-06,2000070718,34.1,139.9,33.214393615722656,139.9111785888672
1832,2000-06,2000070800,36.5,141.4,36.11808776855469,141.1911163330078
1832,2000-06,2000070806,39.2,142.9,39.32093048095703,142.82154846191406
1832,2000-06,2000070812,41.2,144.0,40.65147018432617,143.7147216796875
1832,2000-06,2000070818,42.0,144.6,42.60504150390625,145.6552734375
1832,2000-06,2000070900,42.1,146.5,44.241798400878906,148.66049194335938
1833,2000-07,2000070412,18.400000000000002,120.60000000000001,16.668960571289062,120.82798767089844
1833,2000-07,2000070418,18.8,120.7,16.755491256713867,121.02742004394531
1833,2000-07,2000070500,18.8,120.7,17.878812789916992,121.29850769042969
1833,2000-07,2000070506,18.8,120.7,19.269161224365234,121.4013442993164
1833,2000-07,2000070512,19.1,120.30000000000001,20.388885498046875,121.1169204711914
1833,2000-07,2000070518,19.5,120.10000000000001,19.864316940307617,120.61851501464844
1833,2000-07,2000070600,19.6,119.9,19.809988021850586,121.03998565673828
1833,2000-07,2000070606,19.700000000000003,119.60000000000001,19.821422576904297,121.2942123413086
1833,2000-07,2000070612,20.0,119.10000000000001,20.539257049560547,120.45274353027344
1833,2000-07,2000070618,20.1,118.7,19.948278427124023,120.11911010742188
1833,2000-07,2000070700,19.5,118.30000000000001,19.787368774414062,120.28644561767578
1833,2000-07,2000070706,19.700000000000003,118.7,19.711606979370117,119.90507507324219
1833,2000-07,2000070712,19.700000000000003,118.9,20.87444305419922,120.1237564086914
1833,2000-07,2000070718,19.8,119.0,20.96731948852539,120.05281829833984
1833,2000-07,2000070800,20.0,119.4,19.916391372680664,119.72004699707031
1833,2000-07,2000070806,20.200000000000003,119.60000000000001,21.51427459716797,120.0420150756836
1833,2000-07,2000070812,20.5,120.2,21.77486228942871,121.18067932128906
1833,2000-07,2000070818,21.200000000000003,120.9,21.70012855529785,120.45303344726562
1833,2000-07,2000070900,22.700000000000003,121.4,22.89118766784668,121.220703125
1833,2000-07,2000070906,24.700000000000003,121.60000000000001,24.35761833190918,120.84281921386719
1833,2000-07,2000070912,26.3,121.4,25.589134216308594,122.09249877929688
